"t","x","y","z","a"
5.194693770E-1,3.378009796E-2,-1.432973146E-2,-2.479839325E-2,4.428765663E-2
5.244611990E-1,2.824187279E-2,-1.919192076E-2,-1.504611969E-2,3.731378993E-2
5.294530740E-1,3.239953518E-2,9.081006050E-3,-2.436065674E-2,4.154077692E-2
5.344449490E-1,2.244871855E-2,1.342293620E-2,-4.307937622E-2,5.039794476E-2
5.394368240E-1,1.749309897E-2,1.313751936E-2,-3.792190552E-2,4.377983377E-2
5.444286990E-1,1.268789172E-2,8.114844561E-3,-9.103775024E-3,1.759863683E-2
5.494205740E-1,2.210944891E-2,-2.522045374E-2,-2.324962616E-2,4.080985340E-2
5.544124490E-1,3.603422642E-2,-3.463265300E-2,2.915954590E-2,5.786333247E-2
5.594043240E-1,3.549879789E-2,-3.932282329E-2,5.737495422E-2,7.809183347E-2
5.643961990E-1,1.609870791E-2,-3.453993797E-2,5.212306976E-2,6.456771727E-2
5.693880740E-1,1.620024443E-3,-2.046811581E-2,5.167198181E-2,5.560181605E-2
5.743799490E-1,-8.037179708E-3,-6.365865469E-3,4.173564911E-2,4.297656230E-2
5.793718240E-1,-3.528743982E-3,7.613092661E-3,1.291275024E-2,1.539968613E-2
5.843636990E-1,5.585700274E-3,7.382392883E-3,1.282119751E-2,1.581400891E-2
5.893555740E-1,4.313290119E-4,2.513349056E-3,-1.100826263E-2,1.129977055E-2
5.943474490E-1,-1.412093639E-2,1.203164458E-2,1.283264160E-2,2.255743794E-2
5.993393240E-1,-9.667068720E-3,2.483755350E-3,2.698040009E-2,2.876739903E-2
6.043311990E-1,-1.004976034E-2,7.258325815E-3,7.777214050E-3,1.463441270E-2
6.093230740E-1,-5.839169025E-3,-2.301037312E-3,-1.125621796E-2,1.288771160E-2
6.143149490E-1,-1.121300459E-2,-2.231985331E-3,-6.388664246E-3,1.309687983E-2
6.193068240E-1,1.194897294E-2,-2.215385437E-3,-1.580524445E-2,1.993719235E-2
6.242986990E-1,3.977191448E-2,-6.897598505E-3,-2.040004730E-2,4.522769037E-2
6.292905740E-1,2.958431840E-2,2.754509449E-3,-2.971553802E-2,4.202180883E-2
6.342824490E-1,3.382602334E-2,-2.090704441E-2,-1.046657562E-2,4.111998986E-2
6.392743240E-1,3.338772058E-2,-2.062886953E-2,-8.792877197E-4,3.925637898E-2
6.442661990E-1,1.875948906E-2,-2.040493488E-2,8.627891541E-3,2.902964536E-2
6.492580740E-1,1.380372047E-2,-2.503731847E-2,8.560180664E-3,2.984437481E-2
6.542499490E-1,-1.010471582E-2,-2.963110805E-2,8.492469788E-3,3.243809318E-2
6.592418240E-1,2.311614156E-2,-2.479344606E-2,3.683090210E-3,3.409745037E-2
6.642336990E-1,3.211158514E-2,-3.424370289E-2,4.165840149E-2,6.276310622E-2
6.692255740E-1,2.193424106E-2,-1.528000832E-2,5.558300018E-2,6.167705809E-2
6.742174490E-1,2.624294162E-2,-1.170873642E-3,6.463527679E-2,6.976949144E-2
6.792093240E-1,1.642766595E-2,3.373444080E-3,4.036426544E-2,4.370952137E-2
6.842011990E-1,6.746053696E-3,1.753264666E-2,2.043724060E-3,1.889655385E-2
6.891930740E-1,-2.908408642E-3,3.648024797E-2,-1.221752167E-2,3.858153922E-2
6.941849490E-1,-3.040641546E-3,1.739010215E-2,-2.161312103E-2,2.790677614E-2
6.991768240E-1,-2.691257000E-2,-6.291598082E-3,-2.143287659E-2,3.497483137E-2
7.041686990E-1,-2.209457755E-2,-1.558244228E-2,-2.258300781E-3,2.713084568E-2
7.091605740E-1,-3.226995468E-3,-2.009925246E-2,-6.978988647E-3,2.151975213E-2
7.141524490E-1,2.962499857E-2,-5.636304617E-3,-2.589988708E-2,3.975188827E-2
7.191442720E-1,2.437099814E-2,3.957569599E-3,-1.617717743E-2,2.951794331E-2
7.241360950E-1,1.942038536E-2,-5.470544100E-3,-2.554225922E-2,3.254973466E-2
7.291279180E-1,5.270671844E-2,-3.856262565E-2,-2.534103394E-2,7.005171138E-2
7.341197410E-1,4.303109646E-2,-2.864244580E-2,3.347396851E-3,5.180028986E-2
7.391115640E-1,3.818455338E-2,-3.310233355E-2,4.129505157E-2,6.526182566E-2
7.441033870E-1,2.868187428E-2,-2.348724008E-2,5.993747711E-2,7.047553846E-2
7.490952100E-1,1.450991631E-2,-2.355313301E-2,4.993629456E-2,5.708696226E-2
7.540870330E-1,1.469990611E-2,-4.570394754E-3,3.051948547E-2,3.418208217E-2
7.590788560E-1,2.918902040E-2,9.553253651E-3,6.512641907E-3,3.139551037E-2
7.640706790E-1,2.925834060E-2,1.891669631E-2,-2.679252625E-2,4.395146592E-2
7.690625020E-1,-3.910779953E-3,4.457503557E-3,-2.183246613E-2,2.262344171E-2
7.740543240E-1,-2.255803347E-2,4.468142986E-3,2.078056335E-3,2.308998687E-2
7.790461470E-1,-2.696016431E-2,-5.018293858E-3,2.579593658E-2,3.764922412E-2
7.840379700E-1,-1.739332080E-2,-2.397251129E-2,4.458141327E-2,5.352299800E-2
7.890297930E-1,-3.259897232E-3,-4.938602448E-3,3.472805023E-2,3.522859913E-2
7.940216160E-1,1.555618644E-2,-5.057364702E-3,2.020645142E-2,2.599754898E-2
7.990134390E-1,5.880206823E-3,2.336776257E-2,1.054668427E-2,2.630326422E-2
8.040052620E-1,2.007770538E-2,2.322295308E-2,-8.537292480E-3,3.186385360E-2
8.089970850E-1,3.890535235E-2,-5.307734013E-3,-1.796817780E-2,4.318163841E-2
8.139889080E-1,4.818302393E-2,-5.057781935E-3,-1.782894135E-2,5.162418137E-2
8.189807310E-1,5.303978920E-3,4.689216614E-3,1.296997070E-3,7.197440256E-3
8.239725540E-1,-3.236210346E-2,4.646003246E-3,6.019592285E-3,3.324344413E-2
8.289643770E-1,-2.718713880E-2,-9.588330984E-3,-1.778030396E-2,3.387057448E-2
8.339561990E-1,-8.174926043E-3,-4.655897617E-3,-3.380775452E-3,9.996821549E-3
8.389480220E-1,-3.670513630E-3,1.834332943E-4,1.090431213E-2,1.150696924E-2
8.439398450E-1,1.039883494E-2,-9.265214205E-3,2.981376648E-2,3.290654394E-2
8.489316680E-1,2.455705404E-2,-1.393637061E-2,4.855918884E-2,5.617175580E-2
8.539234910E-1,4.339611530E-2,-1.371410489E-2,3.865146637E-2,5.970959177E-2
8.589153140E-1,4.793813825E-2,-8.747339249E-3,1.932621002E-2,5.242216551E-2
8.639071370E-1,3.824874759E-2,-2.281594276E-2,-9.337425232E-3,4.550518043E-2
8.688989600E-1,1.935249567E-2,-8.330404758E-3,-2.827262878E-2,3.525983934E-2
8.738907830E-1,1.496306062E-2,-3.514438868E-3,-2.330970764E-2,2.792108404E-2
8.788826060E-1,2.005851269E-2,-1.304039359E-2,-2.313232422E-2,3.327912589E-2
8.838744290E-1,-1.773214340E-2,-8.185237646E-3,-8.708953857E-3,2.138394029E-2
8.888662520E-1,-2.676713467E-2,-1.276576519E-2,8.449554443E-4,2.966746044E-2
8.938580740E-1,-1.214015484E-2,-3.166466951E-3,2.932262421E-2,3.189398318E-2
8.988498970E-1,-7.187247276E-3,6.357043982E-3,3.857135773E-2,3.974692653E-2
9.038417200E-1,-2.272367477E-3,1.579692960E-2,4.299449921E-2,4.586102485E-2
9.088335430E-1,1.700124145E-2,1.081091166E-2,2.838325500E-2,3.480699910E-2
9.138253660E-1,4.091629386E-2,-1.297390461E-2,-1.460361481E-2,4.534016839E-2
9.188171890E-1,2.200108767E-2,-2.711752057E-2,-2.399635315E-2,4.237018698E-2
9.238090120E-1,-6.149649620E-3,-3.103286028E-3,1.891708374E-2,2.013217901E-2
9.288008350E-1,-3.422647715E-2,-3.181219101E-3,3.774166107E-2,5.104904380E-2
9.337926580E-1,-2.913981676E-2,-1.745417714E-2,2.793025970E-2,4.397586415E-2
9.387844810E-1,-4.340118170E-2,-1.256224513E-2,4.670143127E-2,6.498073760E-2
9.437763040E-1,1.837709546E-2,-7.758796215E-3,2.258396149E-2,3.013223976E-2
9.487681270E-1,7.984992862E-2,-3.628891706E-2,1.290607452E-2,8.865361449E-2
9.537599490E-1,1.125823855E-1,-4.094690084E-2,1.754665375E-2,1.210757089E-1
9.587517720E-1,7.882454991E-2,-2.667811513E-2,2.688980103E-2,8.745337555E-2
9.637435950E-1,1.226106286E-2,-3.078907728E-3,2.665328979E-2,2.949934223E-2
9.687354180E-1,-4.429939389E-2,1.429289579E-3,-2.106666565E-2,4.907426586E-2
9.737272410E-1,-6.271386147E-2,2.030333877E-2,-1.139926910E-2,6.689691563E-2
9.787190640E-1,-5.754727125E-2,2.963122725E-2,1.244163513E-2,6.591276312E-2
9.837108870E-1,-9.739190340E-3,5.641907454E-3,-1.900672913E-3,1.141470568E-2
